text,Ad1,Ad2,Ad3,sum_labels,agreed_labels,percentual_labels,labels_numbers
"Barna, înainte de ședința coaliției: Vom intra în logica unei coaliţii stabile şi a unui Guvern care face ce are de făcut","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0.33, 0]",[5]
"UPDATE. Atac cu cuțitul în <|PROPN|> : trei au murit, iar mai multe au fost rănite. nu exclud ideea unui atac terorist...","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 1, 0, 0]","[0, 1, 2, 0, 2, 0, 0]","[0, 0, 1, 0, 1, 0, 0]","[0, 0.33, 0.66, 0, 0.66, 0, 0]","[3, 5]"
În ochii tăi am văzut un talent extraordinar! #romaniiautalent,"[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 3, 1]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0.33]",[6]
Prima zi la terasă – au stat la coadă la <|PROPN|> – food și la,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0.33, 0, 0, 0, 0.66, 0, 0]",[5]
Asa-i ca devine distractiva revista presei facuta prin ochii mei? 😁,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 2]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0.33, 0.66]",[7]
"Mulțumim frumos, sunt mândră de tine, și noi vă iubim!","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 3, 3]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 1]","[6, 7]"
Îmi este milă exclusiv de animale şi vegetație. <|PROPN|> poluarea omenirii se răzbună chiar acasă la cei mai mari din ultimii 100 de ani.,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",[1]
ce zambet frumos are aceasta doamna,"[0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 1]","[0, 0.33, 0, 0, 0, 0, 1]",[7]
"De câte ori vorbește ăsta sunt cuprinsă de nervozitate,de indignare,de ură <|URL|> ipocriz e greu de imaginat!De parcă n-a aprobat el <|PROPN|> bugetului pt sănăt cu 25% etc. In rest,n-a vede,n-aude... Am sesizat ceva si despre vina <|PROPN|>,resetare,privatizare, <|URL|> ","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",[4]
Platou <|PROPN|> Petrece alături de familia ta și lasă gătitul în seama noastră Restaurant: <|PROPN|> <|TEL|>/ <|TEL|> <|PROPN|> 🙏 pizza la <|PROPN|> Romania,"[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0.33, 0]",[5]
"Izbucnire nervoasă a lui: "" S-a făcut ' anchetă oltenească '. I- au dat afară pe ca pe nişte borfaşi ""","[0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 2, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0.33, 0, 0.66, 0, 0, 0]",[4]
"Si ce te- ai mai necajit pe <|PROPN|> ca-ti fute planurile... 🤣 pai <|PROPN|> 30 de secunde de actiune, stiau ei ca n- are rost sa te complici","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 3, 0, 0, 2]","[0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0.66]","[4, 7]"
"Romania nu are spitale dar are doctori care isi fac treaba cum pot in schimb UK are spitale moderne (, nu toate ) dar doctorii sunt buni de sters geamul cu ei. De unde <|PROPN|> a pornit zvonul ca medicina in UK este foarte buna? 😒","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 2, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0.33, 0, 0.66, 0.33, 0, 0]",[4]
Râurile <|PROPN|> și <|PROPN|> au inundat 5 sate din nordul Republicii <|PROPN|> / Imagini dramatică cu inundațiile din <|PROPN|>: Apele au înghițit și câteva cruci,"[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0, 0, 0.33, 0, 0]",[1]
"Azi e o zi minunată. Poveste cu tâlc, despre atitudine pozitivă, mulţumire şi apreciere …","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0.33, 0]",[5]
"Legende cu uriaşi îndrăgostiţi, balauri necruţători, călugări sau bătrâne bolnave de ciumă alungate din comunitate. Dincolo de istorie, localităţile maramureşene s-au născut din poveşti fantastice, transmise din…","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0, 0.33]",[5]
"Președintele Organizației Județene a Femeilor  PSD, <|PROPN|> Pintile, fost secretar de stat la <|PROPN|>,  solicită autorităților să îl amendeze le ministrul Sănătății  <|PROPN|> pe motiv că nu a respectat măsurile impuse dupa ce a fost alături #coronavirusC","[0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 3, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0.33, 1, 0, 0]",[5]
"Toate tweeturile văd că-s in rusa, oare al cui președinte ești? Sau Republica <|PROPN|> a devenit cumva subiect ( <|PROPN|> sa ne păzească ) al Federatiei Ruse și moldovenii nu știu? Vai și amar de așa conducere...","[1, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0]","[3, 2, 0, 2, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0]","[1, 0.66, 0, 0.66, 0, 0, 0]","[1, 2, 4]"
"Ai mei sunt pana in 65 de ani, <|PROPN|> saptamana trecuta i-am exasperat cu telefoane ca sa-i conving ca nu e de gluma cu virusul asta, <|PROPN|> ca trebuie sa nu iasa din curte. Au mers <|PROPN|> <|PROPN|>-au facut provizii pentru o luna, <|PROPN|>-au luat pomi fructiferi etc p","[0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0.33, 0, 0.33, 0, 0.66, 0, 0]",[5]
": din <|PROPN|> a speriat "" presa miluită "" cu fonduri de la Guvern-","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",[5]
"Reţeaua teroristă Stat Islamic revendică atacul din <|PROPN|> , soldat cu 29 de   morţi","[1, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[1, 1, 2, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0.33, 0.33, 0.66, 0, 0, 0, 0]",[3]
sunt <|PROPN|> !!! Imi era dor de el ATAT de mult dar nu credeam ca o sa <|PROPN|> IAR!!!!,"[0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 1]","[0, 2, 0, 0, 0, 0, 3]","[0, 1, 0, 0, 0, 0, 1]","[0, 0.66, 0, 0, 0, 0, 1]","[2, 7]"
Bro din toata muzica de cacat pe care o bagara ăștia aici cea mai buna de pana acu e o manea. Urasc gusturile muzicale ale oamenilor <|PROPN|>.,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0.33]",[4]
"Iubire cu năbădăi între <|PROPN|> și După ce a spus Poliției că a fost lovită, bruneta l- a iertat pe fostul tenismen...","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",[5]
Eu știu doar de beemveu. Se și supără dacă faci vreo glumă pe tema asta. L- am văzut o dată când s- a burzuluit chiar la dl <|PROPN|> .,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 2, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0.66, 0.33, 0, 0]",[4]
Zi de doliu și tristețe în Armata Națională... Detalii în cazul decesului militarului de 26 de ani- <|URL|> ,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",[1]
"Chiar dacă nu mai este actual azi va fi...mâine ""Dacă votul ar conta, l-ar face ilegal."" Emma Goldman","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0.33, 0, 0, 0, 0]",[1]
"VIDEO: Lacrimi de durere! Mărturia sfâşietoare a unei mame infectate cu coronavirus, care nu îşi poate vedea copilul","[1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[3, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0.33, 0, 0, 0, 0]",[1]
Clipe de coșmar pentru un din <|PROPN|> . Automobilul pe care a încercat să-l pornească a luat foc-,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[1, 0, 2, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0.33, 0, 0.66, 0, 0, 0, 0]",[3]
"Situaţie uluitoare dezvăluită de <|PROPN|> . Momente neplăcute din cauza unui test Covid-19. "" Veniţi când nu o să mai aveţi febră ""","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[0, 3, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0.33, 0, 0, 0, 0]",[2]
"Chiar dacă avem de respectat distanțarea fizică, atingerile ne definesc umanitatea","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0.33, 0, 0, 0, 0.66, 0, 0]",[5]
Este trist ce se întâmplă-n lume.,"[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0, 0, 0.33, 0, 0]",[1]
Atentat terorist la ambasada SUA. Cinci au fost rănite-,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 1, 0, 0]","[1, 0, 1, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0.33, 0, 0.33, 0, 0.66, 0, 0]",[5]
A fost neasteptat acest moment si cred ca toata lumea este uimita!#RomaniiAuTalent,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 3, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",[2]
Stimați prieteni! <|PROPN|> Avem onoarea de a felicita poporul prietenos de Ziua Națională a <|PROPN|>! Vă dorim prosperitate și pace în beneficiul poporului român.,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0.33, 0, 0.66]",[7]
"Vasile Dîncu, wishfull thinking, nu crede că va fi prezenţă prea mare la vot","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",[5]
"Prefer compania unui bolnav psihic, sau analfabet, dar care are inteligență emoțională, nu te insultă, nu sare cu gura, te simte la nivel sufletesc. Am obosit de oameni care te privesc statistic, matematic și cibernetic ca pe un mecanism neviu mai mult sau mai puțin defect...","[1, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 1, 0]","[2, 0, 1, 2, 0, 1, 0]","[1, 0, 0, 1, 0, 0, 0]","[0.66, 0, 0.33, 0.66, 0, 0.33, 0]","[1, 4]"
"Noi am pregatit bradul de <|PROPN|> ! Te asteptam cu drag,! 🤩 arenamall arenamallbacau christmastree <|PROPN|> christmasiscoming la Arena Mall","[0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0.33, 0, 0, 0.66, 0, 0.33]",[5]
"Ce urât! Când am fost la <|PROPN|> era așa curat pe stradă că m-am și mirat!Nu tu chiştoace sau gumă pe jos,nimic! Chiar am trecut printr-un pasaj îngust și aveam emoții ce voi găsi pe-acolo, dar era surprinzător de curat!","[0, 0, 0, 1, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 2, 0, 1, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 0.66, 0, 0.33, 0, 0.33, 0]",[2]
"Alerta! S-a detectat un nou cutremur in zona <|PROPN|>, la ora <|PROPN|>, cu magnitudinea de <|URL|> pe scara <|PROPN|>, la adancimea de <|URL|> km","[0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[0, 2, 2, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]","[0, 0.66, 0.66, 0, 0, 0, 0]","[2, 3]"
"În mare, Rafilă a cântat de la început partitura <|PROPN|> ( deh, doar este reprezentant <|PROPN|> în <|PROPN|> , ia bănuți și de acolo ), imprimând pe alocuri o ușoară patină personală... cam atât. Însă mult mai ponderat decât alții, ceva mai","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 1, 2, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0.33, 0.66, 0.33, 0]",[5]
"În campionatul 2014-2015, împreună cu <|PROPN|>, a condus echipa pe locul 5, reușind o serie fantastică de 19 partide fără înfrângere, record în istoria <|PROPN|>, cel puțin cea recunoscută de echipa apărută în 2012.","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 2, 1, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0.33, 0.33]",[5]
"Patru decenii am patimit din cauza tantarilor in <|PROPN|> , in sfarsit, e liniste in sensul asta, se- apuca "" <|PROPN|> "" sa se planga de tantari. Ba, ai dreq! 🤣 🤣 🤣","[0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0.33, 0, 0, 0.66, 0, 0]",[5]
"Câmpia Libertății, 21:25 ✏️ Mi-am pierdut căștile. Observ un tată cu bicicletă și remorcă. În remorcă: luminițe pe acoperiș, copil bucuros, boxă din care mă salută <|PROPN|>.","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0.66, 0, 0.33]",[5]
"Tremura chilotii economiei mondiale. Va dam cozonaci si biscuiti, nu grau si","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",[3]
"E toamna, e foșnet, e somn Copacii, pe strada, <|PROPN|>; E tuse, e plânset, e gol... Și-i frig și breaza. <|PROPN|>. <|PROPN|> minunat.","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 1]","[2, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0, 0, 0, 0.33, 0, 0.33]",[1]
Locuri periculoase în municipiul <|PROPN|> Mare … și nu face nimeni nimic! (Foto),"[0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0.33, 1, 0, 0, 0]",[4]
"VIDEO <|PROPN|> la volan, în plină pandemie. Un șofer agresiv a insultat polițiștii care i-au cerut să prezinte actele <|URL|> ","[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[0.33, 0, 0, 0, 0.66, 0, 0]",[5]
"Băi tefelisti iubitori de muie din marketing, piar si <|PROPN|> : "" <|PROPN|> "" nu exista in limba română, doar <|PROPN|> ( <|PROPN|> )... măcar folosiți în <|PROPN|> dexonlinul ăla, tefelist ca și voi","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",[4]
"L-am dat. Dar știi cum e, am mai stat puțin la taclale, fo 2540 de minuțele și ce sa vezi: stoc epuizat!","[0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[0, 0.66, 0, 0, 0.33, 0, 0]",[2]
Zeci de doctori spuneau în cor că e imposibil să se mai prindă viață în biata femeie,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[2, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]","[0.66, 0.33, 0, 0, 0, 0, 0]",[1]
", revoltat de majorarea pensiilor! „ De unde mărești pensiile? Spune-mi și mie: în 10 ani, de unde iei acești 14% ”...","[0, 1, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0]","[0, 1, 1, 3, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0.33, 0.33, 1, 0, 0, 0]",[4]
"Da, te apuca toate pandaliile. Eu în <|PROPN|> nu știu unde sa <|PROPN|> așez sa fiu cât <|PROPN|> i ferita ca <|PROPN|> rea <|PROPN|> joritate urca cu măștile sub nas sau sub bărbie și <|PROPN|> i și tușesc sau strănuta, de îmi vine sa <|PROPN|> dau jos și s o iau la picior <|PROPN|> ","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 3, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0.33, 0, 0, 0]",[3]
Da.:) Important e să fii tu satisfăcută și cu înghețata mâncată,"[0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 3]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0.33, 1]",[7]
Mă bucur că nu sunt singura enervată de chestia asta. Chiar nu mi se pare <|PROPN|> .,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 2, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0.66, 0, 0, 0.33]",[4]
Am <|PROPN|> eu o intrebare <|PROPN|> 😂 De unde stiu oamenii cu chelie pana unde sa se spele pe față? Poate sa ma ajute cineva? Ca mi a ramas buletinu ' mic <|PROPN|> nu ma prind 😂 😂 amuzament <|PROPN|> ,"[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0.33, 0, 0.66]",[7]
